#site1    site2      values
116       139      0.054
116       140      0.054
117       118      0.054
117       140      0.054
117       141      0.054
118       119      0.054
118       141      0.054
118       142      0.054
119       142      0.054
119       143      0.054
120       121      0.054
120       143      0.054
120       144      0.054
120       167      0.054
121       122      0.054
121       144      0.054
121       145      0.054
122       123      0.054
122       145      0.054
122       146      0.054
123       124      0.054
123       146      0.054
123       147      0.054
124       125      0.054
124       147      0.054
124       148      0.054
125       126      0.054
125       148      0.054
125       149      0.054
126       127      0.054
126       149      0.054
126       150      0.054
127       128      0.054
127       150      0.054
127       151      0.054
128       129      0.054
128       151      0.054
128       152      0.054
129       130      0.054
129       152      0.054
129       153      0.054
130       131      0.054
130       153      0.054
130       154      0.054
131       132      0.054
131       154      0.054
131       155      0.054
132       133      0.054
132       155      0.054
132       156      0.054
133       134      0.054
133       156      0.054
133       157      0.054
134       135      0.054
134       157      0.054
134       158      0.054
135       136      0.054
135       158      0.054
135       159      0.054
136       137      0.054
136       159      0.054
136       160      0.054
137       138      0.054
137       160      0.054
137       161      0.054
138       139      0.054
138       161      0.054
138       162      0.054
139       140      0.054
139       162      0.054
139       163      0.054
140       141      0.054
140       163      0.054
140       164      0.054
141       142      0.054
141       164      0.054
141       165      0.054
142       143      0.054
142       165      0.054
142       166      0.054
143       166      0.054
143       167      0.054
144       145      0.054
144       167      0.054
144       168      0.054
144       191      0.054
145       146      0.054
145       168      0.054
145       169      0.054
146       147      0.054
146       169      0.054
146       170      0.054
147       148      0.054
147       170      0.054
147       171      0.054
148       149      0.054
148       171      0.054
148       172      0.054
149       150      0.054
149       172      0.054
149       173      0.054
150       151      0.054
150       173      0.054
150       174      0.054
151       152      0.054
151       174      0.054
151       175      0.054
152       153      0.054
152       175      0.054
152       176      0.054
153       154      0.054
153       176      0.054
153       177      0.054
154       155      0.054
154       177      0.054
154       178      0.054
155       156      0.054
155       178      0.054
155       179      0.054
156       157      0.054
156       179      0.054
156       180      0.054
157       158      0.054
157       180      0.054
157       181      0.054
158       159      0.054
158       181      0.054
158       182      0.054
159       160      0.054
159       182      0.054
159       183      0.054
160       161      0.054
160       183      0.054
160       184      0.054
161       162      0.054
161       184      0.054
161       185      0.054
162       163      0.054
162       185      0.054
162       186      0.054
163       164      0.054
163       186      0.054
163       187      0.054
164       165      0.054
164       187      0.054
164       188      0.054
165       166      0.054
165       188      0.054
165       189      0.054
166       167      0.054
166       189      0.054
166       190      0.054
167       190      0.054
167       191      0.054
168       169      0.054
168       191      0.054
168       192      0.054
168       215      0.054
169       170      0.054
169       192      0.054
169       193      0.054
170       171      0.054
170       193      0.054
170       194      0.054
171       172      0.054
171       194      0.054
171       195      0.054
172       173      0.054
172       195      0.054
172       196      0.054
173       174      0.054
173       196      0.054
173       197      0.054
174       175      0.054
174       197      0.054
174       198      0.054
175       176      0.054
175       198      0.054
175       199      0.054
176       177      0.054
176       199      0.054
176       200      0.054
177       178      0.054
177       200      0.054
177       201      0.054
178       179      0.054
178       201      0.054
178       202      0.054
179       180      0.054
179       202      0.054
179       203      0.054
180       181      0.054
180       203      0.054
180       204      0.054
181       182      0.054
181       204      0.054
181       205      0.054
182       183      0.054
182       205      0.054
182       206      0.054
183       184      0.054
183       206      0.054
183       207      0.054
184       185      0.054
184       207      0.054
184       208      0.054
185       186      0.054
185       208      0.054
185       209      0.054
186       187      0.054
186       209      0.054
186       210      0.054
187       188      0.054
187       210      0.054
187       211      0.054
188       189      0.054
188       211      0.054
188       212      0.054
189       190      0.054
189       212      0.054
189       213      0.054
190       191      0.054
190       213      0.054
190       214      0.054
191       214      0.054
